文献ID,题目,DOI,下载状态,本地路径,下载来源URL,备注
C017,"Concrete 3D Printing: Process Parameters for Process Control, Monitoring and Diagnosis in Automation and Construction",10.3390/math11061499,失败,"文献综述项目/03_全文PDF/C017_Concrete 3D Printing_ Process Parameters for Process Control, Monitoring and Diagnosis in Automation and Construction.pdf",,未找到可直接下载PDF（可能需机构权限）
C018,Vision-based real-time monitoring of extrusion additive manufacturing processes for automatic manufacturing error detection,10.1007/s00170-021-07419-2,失败,文献综述项目/03_全文PDF/C018_Vision-based real-time monitoring of extrusion additive manufacturing processes for automatic manufacturing error detect.pdf,,未找到可直接下载PDF（可能需机构权限）
C019,Real-time process monitoring and error correction in material extrusion-based additive manufacturing via multi-output machine learning,10.1016/j.jmapro.2025.08.025,失败,文献综述项目/03_全文PDF/C019_Real-time process monitoring and error correction in material extrusion-based additive manufacturing via multi-output ma.pdf,,未找到可直接下载PDF（可能需机构权限）
C021,A layerwise monitoring methodology based on blue laser line profilometer for Material Extrusion processes,10.1007/s00170-023-11864-6,成功,文献综述项目/03_全文PDF/C021_A layerwise monitoring methodology based on blue laser line profilometer for Material Extrusion processes.pdf,https://link.springer.com/content/pdf/10.1007/s00170-023-11864-6.pdf?error=cookies_not_supported&code=93d3e74d-ba9a-40d6-92dc-b3ced6b20182,
C011,Stress flow guided non-planar print trajectory optimization for additive manufacturing of anisotropic polymers,10.1016/j.addma.2023.103628,失败,文献综述项目/03_全文PDF/C011_Stress flow guided non-planar print trajectory optimization for additive manufacturing of anisotropic polymers.pdf,,未找到可直接下载PDF（可能需机构权限）
C014,Stress Flow Guided Non-Planar Print Trajectory Optimization for Additive Manufacturing of Anisotropic Polymers,10.2139/ssrn.4341502,失败,文献综述项目/03_全文PDF/C014_Stress Flow Guided Non-Planar Print Trajectory Optimization for Additive Manufacturing of Anisotropic Polymers.pdf,,未找到可直接下载PDF（可能需机构权限）
C015,Self-support structure topology optimization for multi-axis additive manufacturing incorporated with curved layer slicing,10.1016/j.cma.2025.117841,失败,文献综述项目/03_全文PDF/C015_Self-support structure topology optimization for multi-axis additive manufacturing incorporated with curved layer slicin.pdf,,未找到可直接下载PDF（可能需机构权限）
C020,Strand width uniformly control for silicone extrusion additive manufacturing based on image processing,10.1007/s00170-021-08370-y,失败,文献综述项目/03_全文PDF/C020_Strand width uniformly control for silicone extrusion additive manufacturing based on image processing.pdf,,未找到可直接下载PDF（可能需机构权限）
C028,Additive manufacturing of structural materials,10.1016/j.mser.2020.100596,失败,文献综述项目/03_全文PDF/C028_Additive manufacturing of structural materials.pdf,,未找到可直接下载PDF（可能需机构权限）
C022,Characterization of Surface Topography Features for the Effect of Process Parameters and Their Correlation to Quality Monitoring in Metal Additive Manufacturing,10.3390/metrology2010005,失败,文献综述项目/03_全文PDF/C022_Characterization of Surface Topography Features for the Effect of Process Parameters and Their Correlation to Quality Mo.pdf,,未找到可直接下载PDF（可能需机构权限）
C027,Design for additive manufacturing: Framework and methodology,10.1016/j.cirp.2020.05.006,失败,文献综述项目/03_全文PDF/C027_Design for additive manufacturing_ Framework and methodology.pdf,,未找到可直接下载PDF（可能需机构权限）
C029,Machine learning in additive manufacturing: State-of-the-art and perspectives,10.1016/j.addma.2020.101538,失败,文献综述项目/03_全文PDF/C029_Machine learning in additive manufacturing_ State-of-the-art and perspectives.pdf,,未找到可直接下载PDF（可能需机构权限）
C034,Recent Advances in In Situ 3D Surface Topographical Monitoring for Additive Manufacturing Processes,10.3390/jmmp9040133,失败,文献综述项目/03_全文PDF/C034_Recent Advances in In Situ 3D Surface Topographical Monitoring for Additive Manufacturing Processes.pdf,,未找到可直接下载PDF（可能需机构权限）
C043,In-process density measurement for model-based process optimization of functionally graded foam microcellular structures in material extrusion additive manufacturing,10.1016/j.addma.2025.104817,失败,文献综述项目/03_全文PDF/C043_In-process density measurement for model-based process optimization of functionally graded foam microcellular structures.pdf,,未找到可直接下载PDF（可能需机构权限）
